stackoverflow,sage,2017-04-21T02:46:01.905785,502
stackoverflow,gap-system,2017-04-21T02:46:01.905785,15
stackoverflow,jupyter-notebook,2017-04-21T02:46:01.905785,2031
math,sagemath,2017-04-21T02:46:02.314482,139
math,gap,2017-04-21T02:46:02.314482,300
mathoverflow,sage,2017-04-21T02:46:02.686214,17
mathoverflow,gap,2017-04-21T02:46:02.686214,2
scicomp,sage,2017-04-21T02:46:03.852453,4
datascience,jupyter,2017-04-21T02:46:04.222842,15
datascience,ipython,2017-04-21T02:46:04.222842,10
stackoverflow,pythran,2017-05-05T02:46:02.253041,6
stackoverflow,ipython,2017-05-05T02:46:02.253041,5050
stackoverflow,singular,2017-05-05T02:46:02.253041,72
stackoverflow,jupyter-notebook,2017-05-05T02:46:02.253041,2097
stackoverflow,jupyter,2017-05-05T02:46:02.253041,1591
stackoverflow,mpir,2017-05-05T02:46:02.253041,20
stackoverflow,jupyterhub,2017-05-05T02:46:02.253041,61
stackoverflow,gap-system,2017-05-05T02:46:02.253041,15
stackoverflow,sage,2017-05-05T02:46:02.253041,503
stackoverflow,pari-gp,2017-05-05T02:46:02.253041,33
stackoverflow,pari,2017-05-05T02:46:02.253041,43
math,sagemath,2017-05-05T02:46:03.199091,139
math,gap,2017-05-05T02:46:03.199091,305
mathoverflow,gap,2017-05-05T02:46:04.258521,2
mathoverflow,sage,2017-05-05T02:46:04.258521,16
scicomp,sage,2017-05-05T02:46:06.431129,4
datascience,jupyter,2017-05-05T02:46:07.215230,15
datascience,ipython,2017-05-05T02:46:07.215230,10
stackoverflow,pythran,2017-05-12T02:46:01.479387,6
stackoverflow,singular,2017-05-12T02:46:01.479387,72
stackoverflow,pari-gp,2017-05-12T02:46:01.479387,33
stackoverflow,ipython,2017-05-12T02:46:01.479387,5061
stackoverflow,jupyter,2017-05-12T02:46:01.479387,1614
stackoverflow,gap-system,2017-05-12T02:46:01.479387,16
stackoverflow,pari,2017-05-12T02:46:01.479387,43
stackoverflow,jupyterhub,2017-05-12T02:46:01.479387,62
stackoverflow,sage,2017-05-12T02:46:01.479387,502
stackoverflow,mpir,2017-05-12T02:46:01.479387,20
stackoverflow,jupyter-notebook,2017-05-12T02:46:01.479387,2135
math,gap,2017-05-12T02:46:01.853517,308
math,sagemath,2017-05-12T02:46:01.853517,139
mathoverflow,sage,2017-05-12T02:46:02.215473,16
mathoverflow,gap,2017-05-12T02:46:02.215473,2
scicomp,sage,2017-05-12T02:46:03.331461,4
datascience,jupyter,2017-05-12T02:46:03.719356,15
datascience,ipython,2017-05-12T02:46:03.719356,10
stackoverflow,singular,2017-05-19T02:46:02.084176,72
stackoverflow,jupyterhub,2017-05-19T02:46:02.084176,64
stackoverflow,jupyter,2017-05-19T02:46:02.084176,1624
stackoverflow,pythran,2017-05-19T02:46:02.084176,6
stackoverflow,mpir,2017-05-19T02:46:02.084176,20
stackoverflow,pari-gp,2017-05-19T02:46:02.084176,33
stackoverflow,pari,2017-05-19T02:46:02.084176,44
stackoverflow,sage,2017-05-19T02:46:02.084176,504
stackoverflow,ipython,2017-05-19T02:46:02.084176,5074
stackoverflow,gap-system,2017-05-19T02:46:02.084176,16
stackoverflow,jupyter-notebook,2017-05-19T02:46:02.084176,2163
math,sagemath,2017-05-19T02:46:02.461209,138
math,gap,2017-05-19T02:46:02.461209,309
mathoverflow,gap,2017-05-19T02:46:02.878499,2
mathoverflow,sage,2017-05-19T02:46:02.878499,16
